Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Z3/p-->v/V3/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,6.798073823749216e-5,6.69289436183854e-5,6.903040925093642e-5,2.9151478540950506e-6,2.6190875792518292e-6,3.4180052055620037e-6
Z3/p-->v/V4/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,6.923077854152605e-5,6.88632958226243e-5,6.971541222606353e-5,1.129271294860479e-6,6.918071009759872e-7,1.6042146672819855e-6
Z3/p-->v/V5/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,1.100134794443754e-4,1.0809768471777242e-4,1.1349069165033982e-4,7.048125315220268e-6,4.387130328969727e-6,1.1911767358334102e-5
Z3/p-->v/V6/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,1.1058538098396035e-4,1.0836770736382341e-4,1.1313913499210798e-4,6.329385136868057e-6,4.92451431437408e-6,9.463405699773064e-6
Z3/p-->v/V7/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,7.855995580842118e-5,7.751144312654349e-5,7.981544469454969e-5,2.9990772182685674e-6,2.4175679774761597e-6,3.837810234046929e-6
Z3/p-->v/V8/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,7.690446103669418e-5,7.581402406485317e-5,7.795848837557478e-5,2.96368901639038e-6,2.5805410088236652e-6,3.270675568937858e-6
Z3/p-->v/V9/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,7.377291646636297e-5,7.260028512385099e-5,7.513386632949354e-5,3.3664512254175037e-6,2.844492329019583e-6,4.0390010088910414e-6
Z3/p-->v/V10/Chc/0/numPlain/0/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/1/Variants/1,6.9857797856826e-5,6.912957769864387e-5,7.068434079106849e-5,1.9672603249529212e-6,1.4600046012423258e-6,2.6263660166241506e-6
Z3/p-->v/V1/Chc/558/numPlain/558/Compression/0.78768235/VCore_Total/2890/VCorePlain/2332/VCoreVar/2332/Variants/2,4.363263660388501e-2,4.2251825634188035e-2,4.463207990150405e-2,2.477031118039102e-3,1.6402929052539315e-3,3.302830699750203e-3
Z3/p-->v/V1*V2/Chc/1322/numPlain/1322/Compression/0.4616535/VCore_Total/3515/VCorePlain/2202/VCoreVar/2202/Variants/4,0.10260206812916665,9.975303824333334e-2,0.1051243805925,4.602657972155095e-3,2.3366814678736675e-3,7.922878345353062e-3
Z3/p-->v/V1*V2*V3/Chc/1400/numPlain/1400/Compression/0.23948032/VCore_Total/3532/VCorePlain/2157/VCoreVar/2157/Variants/8,0.20982942524519843,0.20611042881500002,0.2127329053862302,5.659577458702757e-3,3.694387643411325e-3,8.24657019998783e-3
Z3/p-->v/V1*V2*V3*V4/Chc/1478/numPlain/1478/Compression/0.12483662/VCore_Total/3580/VCorePlain/2135/VCoreVar/2135/Variants/16,0.4407196721257143,0.435483843055,0.4462009534333333,8.977158633538323e-3,6.670134218554752e-3,1.1735150071560927e-2
Z3/p-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2159/Compression/6.726688e-2/VCore_Total/3588/VCorePlain/1827/VCoreVar/1827/Variants/32,0.9656373018492064,0.9554422989736508,0.976448822785,1.7443659333296956e-2,1.232998959254663e-2,2.5595876365637423e-2
Z3/p-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2827/Compression/3.424053e-2/VCore_Total/4020/VCorePlain/1716/VCoreVar/1716/Variants/64,2.0739016217411113,2.0567716251644446,2.0916048864644443,3.023767901397806e-2,2.276476735602878e-2,3.899826546223943e-2
Z3/v-->p/V1*V2*V3/Chc/4015/numPlain/4015/Compression/0.24733596/VCore_Total/30892/VCorePlain/26898/VCoreVar/26898/Variants/8,23.125653095720793,22.936680838661907,23.297290741986032,0.3209592561855149,0.24958740336800495,0.4037083837809682
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/3248/Compression/1.7480673e-2/VCore_Total/4135/VCorePlain/1560/VCoreVar/1560/Variants/128,4.2700902512847225,4.257400941032222,4.290015442007222,2.745579846804376e-2,1.517107636349761e-2,3.950779791705775e-2
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/3633/Compression/8.891835e-3/VCore_Total/4392/VCorePlain/1498/VCoreVar/1498/Variants/256,8.846799907097223,8.805572234686666,8.982379153215,0.10633606169866695,3.3615430340284955e-2,0.1736380158491457
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/3752/Compression/4.50614e-3/VCore_Total/4419/VCorePlain/1461/VCoreVar/1461/Variants/512,17.967773416986944,17.91724680195,18.005635344215836,7.671591322322178e-2,5.9636724875384295e-2,0.10304607901008855
