Name,Time,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants
Z3/p-->v/V7/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.033620329,Z3,p-->v,V7,0,0.0,0.0,1,0,0,1
Z3/p-->v/V8/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.034564904333333334,Z3,p-->v,V8,0,0.0,0.0,1,0,0,1
Z3/p-->v/V9/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.02982046075,Z3,p-->v,V9,0,0.0,0.0,1,0,0,1
Z3/p-->v/V10/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.0267069285,Z3,p-->v,V10,0,0.0,0.0,1,0,0,1
Z3/p-->v/V1/Chc/0/numPlain/0/Compression/0/VCore_Total/2/VCorePlain/0/VCoreVar/0/Variants/1,0.060357871,Z3,p-->v,V1,0,0.0,0.0,2,0,0,2
Z3/p-->v/V1*V2/Chc/0/numPlain/0/Compression/0/VCore_Total/4/VCorePlain/0/VCoreVar/0/Variants/1,0.16819794333333335,Z3,p-->v,V1*V2,0,0.0,0.0,4,0,0,4
Z3/p-->v/V1*V2*V3/Chc/0/numPlain/0/Compression/0/VCore_Total/8/VCorePlain/0/VCoreVar/0/Variants/1,0.32177542033333334,Z3,p-->v,V1*V2*V3,0,0.0,0.0,8,0,0,8
Z3/p-->v/V1*V2*V3*V4/Chc/0/numPlain/0/Compression/0/VCore_Total/16/VCorePlain/0/VCoreVar/0/Variants/1,0.6446577973333333,Z3,p-->v,V1*V2*V3*V4,0,0.0,0.0,16,0,0,16
Z3/p-->v/V1*V2*V3*V4*V5/Chc/0/numPlain/0/Compression/0/VCore_Total/32/VCorePlain/0/VCoreVar/0/Variants/1,1.6175341213333334,Z3,p-->v,V1*V2*V3*V4*V5,0,0.0,0.0,32,0,0,32
Z3/p-->v/V1*V2*V3*V4*V5*V6/Chc/0/numPlain/0/Compression/0/VCore_Total/64/VCorePlain/0/VCoreVar/0/Variants/1,3.727671592666667,Z3,p-->v,V1*V2*V3*V4*V5*V6,0,0.0,0.0,64,0,0,64
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7/Chc/0/numPlain/0/Compression/0/VCore_Total/128/VCorePlain/0/VCoreVar/0/Variants/1,7.7529248876666665,Z3,p-->v,V1*V2*V3*V4*V5*V6*V7,0,0.0,0.0,128,0,0,128
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/0/numPlain/0/Compression/0/VCore_Total/256/VCorePlain/0/VCoreVar/0/Variants/1,15.763246932,Z3,p-->v,V1*V2*V3*V4*V5*V6*V7*V8,0,0.0,0.0,256,0,0,256
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/0/numPlain/0/Compression/0/VCore_Total/512/VCorePlain/0/VCoreVar/0/Variants/1,33.049942993,Z3,p-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9,0,0.0,0.0,512,0,0,512
Z3/p-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/0/numPlain/0/Compression/0/VCore_Total/1024/VCorePlain/0/VCoreVar/0/Variants/1,68.39385160566667,Z3,p-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,0,0.0,0.0,1024,0,0,1024
Z3/p-->p/V1/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.07997437433333333,Z3,p-->p,V1,0,0.0,0.0,1,0,0,1
Z3/p-->p/V2/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.08263561033333333,Z3,p-->p,V2,0,0.0,0.0,1,0,0,1
Z3/p-->p/V3/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.045954229000000006,Z3,p-->p,V3,0,0.0,0.0,1,0,0,1
Z3/p-->p/V4/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.048939921666666664,Z3,p-->p,V4,0,0.0,0.0,1,0,0,1
Z3/p-->p/V5/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.07742138466666666,Z3,p-->p,V5,0,0.0,0.0,1,0,0,1
Z3/p-->p/V6/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.07446515566666666,Z3,p-->p,V6,0,0.0,0.0,1,0,0,1
Z3/p-->p/V7/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.053856344,Z3,p-->p,V7,0,0.0,0.0,1,0,0,1
Z3/p-->p/V8/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.051497771666666664,Z3,p-->p,V8,0,0.0,0.0,1,0,0,1
Z3/p-->p/V9/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.04518669,Z3,p-->p,V9,0,0.0,0.0,1,0,0,1
Z3/p-->p/V10/Chc/0/numPlain/0/Compression/0/VCore_Total/1/VCorePlain/0/VCoreVar/0/Variants/1,0.042565566666666665,Z3,p-->p,V10,0,0.0,0.0,1,0,0,1
Z3/p-->p/V1/Chc/0/numPlain/0/Compression/0/VCore_Total/2/VCorePlain/0/VCoreVar/0/Variants/1,0.10507617766666666,Z3,p-->p,V1,0,0.0,0.0,2,0,0,2
Z3/p-->p/V1*V2/Chc/0/numPlain/0/Compression/0/VCore_Total/4/VCorePlain/0/VCoreVar/0/Variants/1,0.2814491986666667,Z3,p-->p,V1*V2,0,0.0,0.0,4,0,0,4
Z3/p-->p/V1*V2*V3/Chc/0/numPlain/0/Compression/0/VCore_Total/8/VCorePlain/0/VCoreVar/0/Variants/1,0.5749059366666667,Z3,p-->p,V1*V2*V3,0,0.0,0.0,8,0,0,8
